item_id,title,difficulty
1,(ISC)² Systems Security Certified Practitioner (SSCP),Beginner
2,.NET FullStack Developer,Intermediate
3,21st Century Energy Transition: how do we make it work?,Beginner
4,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,Intermediate
5,A life with ADHD,Beginner
6,AI & Law,Beginner
7,AI Applications in Marketing and Finance,Mixed
8,AI Applications in People Management,Mixed
9,AI For Business,Beginner
10,AI For Everyone,Beginner
11,AI For Everyone （すべての人のためのAIリテラシー講座）,Beginner
12,AI Foundations for Everyone,Beginner
13,AI Foundations: Prompt Engineering with ChatGPT,Beginner
14,AI Fundamentals for Non-Data Scientists,Mixed
15,AI Product Management,Beginner
16,AI Strategy and Governance,Beginner
17,AI and Climate Change,Beginner
18,AI and Public Health,Beginner
19,AI for Good,Beginner
20,AI for Medical Diagnosis,Intermediate
21,AI for Medicine,Intermediate
22,AI in Healthcare,Beginner
23,"AI, Business & the Future of Work",Beginner
24,"AI, Empathy & Ethics",Beginner
25,AWS Cloud Practitioner Essentials,Beginner
26,AWS Cloud Solutions Architect,Intermediate
27,AWS Cloud Technical Essentials,Beginner
28,AWS Cloud Technology Consultant,Beginner
29,AWS Fundamentals,Beginner
30,Abnormal Psychology,Beginner
31,Academic English: Writing,Beginner
32,Accelerated Computer Science Fundamentals,Intermediate
33,Accounting: Principles of Financial Accounting,Beginner
34,Achieving Personal and Professional Success,Beginner
35,Addiction Treatment: Clinical Skills for Healthcare Providers,Beginner
36,Advanced Business Analytics,Intermediate
37,Advanced Data Science with IBM,Advanced
38,Advanced Embedded Linux Development,Intermediate
39,Advanced Learning Algorithms,Beginner
40,Advanced Machine Learning on Google Cloud,Advanced
41,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Advanced
42,Agile Development,Beginner
43,Agile Leadership,Beginner
44,Agile Project Management,Beginner
45,Agile with Atlassian Jira,Beginner
46,Akamai Customer Consulting and Support,Beginner
47,Akamai Network Engineering,Beginner
48,Algae Biotechnology,Intermediate
49,Algebra: Elementary to Advanced,Beginner
50,Algorithms,Intermediate
51,Algorithms for Battery Management Systems,Intermediate
52,American Contract Law I,Beginner
53,An Introduction to Accessibility and Inclusive Design,Beginner
54,An Introduction to American Law,Beginner
55,An Introduction to Consumer Neuroscience & Neuromarketing,Beginner
56,An Introduction to Programming the Internet of Things (IOT),Beginner
57,Analyze Data to Answer Questions,Beginner
58,Analyze Datasets and Train ML Models using AutoML,Advanced
59,Analyze Network Traffic with TCPDump,Intermediate
60,Anatomy,Beginner
61,Android App Development,Beginner
62,Animal Behaviour and Welfare,Mixed
63,Antibiotic Stewardship,Advanced
64,Análisis de Datos de Google,Beginner
65,Applied Computational Fluid Dynamics,Intermediate
66,Applied Data Science,Beginner
67,Applied Data Science Capstone,Intermediate
68,Applied Data Science with Python,Intermediate
69,Applied Data Science with R,Beginner
70,Applied Software Engineering Fundamentals,Beginner
71,Architecting with Google Compute Engine,Intermediate
72,Architecting with Google Kubernetes Engine,Beginner
73,Arizona State University TESOL,Beginner
74,Arm Cortex-M Architecture and Software Development,Intermediate
75,Artificial Intelligence in Marketing,Beginner
76,Artificial Intelligence: an Overview,Beginner
77,Arts and Heritage Management,Mixed
78,Ask Questions to Make Data-Driven Decisions,Beginner
79,Aspectos básicos de la asistencia técnica,Beginner
80,Aspectos básicos del diseño de la experiencia del usuario,Beginner
81,"Aspectos básicos: Datos, datos, en todas partes",Beginner
82,Assess for Success: Marketing Analytics and Measurement,Beginner
83,Assets in Accounting,Beginner
84,"Assets, Threats, and Vulnerabilities",Beginner
85,Astronomy: Exploring Time and Space,Beginner
86,Attract and Engage Customers with Digital Marketing,Beginner
87,Auditing I: Conceptual Foundations of Auditing,Intermediate
88,Autodesk CAD/CAM/CAE for Mechanical Engineering,Intermediate
89,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Advanced
90,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Advanced
91,Automate Cybersecurity Tasks with Python,Beginner
92,"BI Foundations with SQL, ETL and Data Warehousing",Beginner
93,BIM Fundamentals for Engineers,Beginner
94,Battery Technologies,Beginner
95,Bayesian Statistics,Intermediate
96,Become a CBRS Certified Professional Installer by Google,Mixed
97,Become a Journalist: Report the News!,Beginner
98,Become an EMT,Beginner
99,Behavioral Finance,Beginner
100,Big Data,Beginner
101,Bioinformatics,Beginner
102,Biology Meets Programming: Bioinformatics for Beginners,Beginner
103,Biostatistics in Public Health,Beginner
104,Blockchain,Intermediate
105,Blockchain Revolution,Beginner
106,Blockchain Revolution in Financial Services,Beginner
107,Bookkeeping Basics,Beginner
108,"Brand Management: Aligning Business, Brand and Behaviour",Beginner
109,Branding: The Creative Journey,Beginner
110,Build Basic Generative Adversarial Networks (GANs),Intermediate
111,Build Dynamic User Interfaces (UI) for Websites,Beginner
112,Build Wireframes and Low-Fidelity Prototypes,Beginner
113,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Mixed
114,Building AI Powered Chatbots Without Programming,Beginner
115,Building Cloud Computing Solutions at Scale,Intermediate
116,Building No-Code Apps with AppSheet,Beginner
117,Business Analytics,Beginner
118,Business Analytics with Excel: Elementary to Advanced,Intermediate
119,Business Data Management and Communication,Intermediate
120,Business English Communication Skills,Intermediate
121,Business Foundations,Beginner
122,Business Model Innovation,Mixed
123,Business Statistics and Analysis,Beginner
124,Business Strategies for A Better World,Beginner
125,Business Strategy,Beginner
126,Business Sustainability in the Circular Economy,Beginner
127,Business Value and Project Management,Beginner
128,Business Writing,Beginner
129,Business and Financial Modeling,Beginner
130,Business and Marketing Strategies,Beginner
131,C Programming with Linux,Beginner
132,C# Programming for Unity Game Development,Beginner
133,C++ Programming for Unreal Game Development,Intermediate
134,CAD and Digital Manufacturing,Intermediate
135,COBOL Programming with VSCode,Beginner
136,COVID-19 Contact Tracing,Beginner
137,CVS Health Call Center Customer Service,Beginner
138,CVS Health Retail Customer Service,Beginner
139,Calculus for Machine Learning and Data Science,Beginner
140,Cancer Biology,Beginner
141,Capstone: Applying Project Management in the Real World,Beginner
142,Career Success,Beginner
143,Certified in Cybersecurity,Beginner
144,ChatGPT Advanced Data Analysis,Beginner
145,ChatGPT Playground for Beginners: Intro to NLP AI,Beginner
146,ChatGPT for Beginners: Save time with Microsoft Excel,Intermediate
147,Chemicals and Health,Beginner
148,Child Nutrition and Cooking,Beginner
149,Chinese for Beginners,Mixed
150,Ciberseguridad de Google,Beginner
151,Circular Economy - Sustainable Materials Management,Beginner
152,Claves de la Dirección de Empresas,Beginner
153,Climate Change and Sustainable Investing,Beginner
154,Clinical Terminology for International and U.S. Students,Beginner
155,Clinical Trials Operations,Beginner
156,Cloud Application Development Foundations,Beginner
157,Cloud Computing Law,Beginner
158,Cloud-Native Development with OpenShift and Kubernetes,Intermediate
159,Coaching Skills for Managers,Intermediate
160,Coding for Beginners: An Easy Introduction,Beginner
161,Coding for Everyone: C and C++,Beginner
162,Communication Strategies for a Virtual Age,Beginner
163,CompTIA a+_ cyber,Beginner
164,CompTIA a+_ network,Beginner
165,Competitive Strategy and Organization Design,Intermediate
166,Computational Neuroscience,Beginner
167,Computational Social Science,Beginner
168,Computational Thinking for Problem Solving,Beginner
169,Computer Vision for Engineering and Science,Intermediate
170,"Concepts, Strategies, and Analytics in Performance Marketing and Digital Advertising",Beginner
171,Conduct UX Research and Test Early Concepts,Beginner
172,Conflict Management,Beginner
173,Connect and Protect: Networks and Network Security,Beginner
174,Connected Leadership,Beginner
175,Construction Management,Beginner
176,Construction Project Management,Beginner
177,Contabilidad para no contadores,Beginner
178,Convolutional Neural Networks,Intermediate
179,Convolutional Neural Networks in TensorFlow,Intermediate
180,Core Java,Intermediate
181,Corporate & Commercial Law I: Contracts & Employment Law,Intermediate
182,Corporate Strategy,Beginner
183,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Mixed
